"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","100n","","Soldered footprints:0603C","1",""
"C2,C3","CL10A226MPCNUBE","","Soldered footprints:0603C","2",""
"C4","C1608X7S1A475K080AC","","Soldered footprints:0603C","1",""
"D1","blue","","Soldered footprints:0402LED","1",""
"D2","M4_DIODA","","Soldered footprints:M4_DIODA","1",""
"D3","purple","","Soldered footprints:0402LED","1",""
"DM1","SKU: 700052","","Soldered footprints:PCB","1",""
"K1","SRD-05VDC-SL-C","","Soldered footprints:SRD_RELAY_5V","1",""
"K2,K5","qwiic-SMD","","Soldered footprints:qwiic-connector","2",""
"K3","TERMINAL_KF235-5.0-3P","","Soldered footprints:TERMINAL_KF235-5.0-3P","1",""
"K6","DSHP03TS-S","","Soldered footprints:DSHP03TS-S","1",""
"L1","DFE201612E-2R2M=P2","","Soldered footprints:0806L","1",""
"Q1","NPN","","Soldered footprints:SOT-23-3","1",""
"R1","100R","","Soldered footprints:0603R","1",""
"R2,R7","2k2","","Soldered footprints:0402R","2",""
"R3","330R","","Soldered footprints:0603R","1",""
"R4","10R","","Soldered footprints:0603R","1",""
"R5,R6","10k","","Soldered footprints:0603R","2",""
"U1","PC357_OPTO","","Soldered footprints:PC357_OPTO","1",""
"U2","ATTINY404-SSNR","","Soldered footprints:SOIC-14","1",""
"U3","TPS613222A","","Soldered footprints:tps613222a","1",""
